,country_name,country_subregion,country_region,internet_users,population
0,China,Eastern Asia,Asia,1010740000,1427647786
1,India,Southern Asia,Asia,833710000,1352642280
2,United States,Northern America,Americas,312320000,327096265
3,Indonesia,South-eastern Asia,Asia,196000000,267670543
4,Brazil,South America,Americas,160010801,209469323
5,Nigeria,Western Africa,Africa,136203231,195874685
6,Bangladesh,Southern Asia,Asia,129180000,166303498
7,Russia,Eastern Europe,Europe,124000000,145734038
8,Pakistan,Southern Asia,Asia,118800000,213756286
9,Japan,Eastern Asia,Asia,117400000,127202192
10,Mexico,Northern America,Americas,92010000,128972439
11,Iran,Western Asia,Asia,78086663,81800188
12,Germany,Western Europe,Europe,77794405,83124418
13,Philippines,South-eastern Asia,Asia,73003313,106651394
14,Turkey,Southern Europe,Europe,69945905,82340088
15,Vietnam,South-eastern Asia,Asia,68172134,95545962
16,United Kingdom,Northern Europe,Europe,65001016,67141684
17,France,Western Europe,Europe,59470000,64990511
18,Egypt,Northern Africa,Africa,54740141,98423598
19,South Korea,Eastern Asia,Asia,49421084,51171706
20,Spain,Southern Europe,Europe,42400756,46692858
21,Thailand,South-eastern Asia,Asia,54043108,69428453
22,Italy,Southern Europe,Europe,50540000,60627291
23,Poland,Eastern Europe,Europe,34697848,37921592
24,Canada,Northern America,Americas,33950632,37064562
25,Argentina,South America,Americas,33561876,44361150
26,South Africa,Southern Africa,Africa,31858027,57792518
27,Colombia,South America,Americas,30548252,49661048
28,Saudi Arabia,Western Asia,Asia,27048861,33702756
29,Malaysia,South-eastern Asia,Asia,25343685,31528033
30,Ukraine,Eastern Europe,Europe,31100000,44246156
31,Algeria,Northern Africa,Africa,26350000,42228408
32,Morocco,Northern Africa,Africa,22072765,36029093
33,Taiwan,Eastern Asia,Asia,21920626,23726460
34,Australia,"Australia, New Zealand",Oceania,21159515,24898152
35,Venezuela,South America,Americas,20564451,28887118
36,Ethiopia,Eastern Africa,Africa,19543075,109224414
37,Iraq,Western Asia,Asia,18892351,38433600
38,Uzbekistan,Central Asia,Asia,16692456,32476244
39,Myanmar,South-eastern Asia,Asia,16374103,53708320
40,Netherlands,Western Europe,Europe,15877494,17059560
41,Peru,South America,Americas,15674241,31989260
42,Chile,South America,Americas,14864456,18729160
43,Kazakhstan,Central Asia,Asia,13913699,18319618
44,Romania,Eastern Europe,Europe,12545558,19506114
45,Sudan,Northern Africa,Africa,12512639,41801533
46,Ghana,Western Africa,Africa,15065541,29767102
47,Côte d'Ivoire,Western Africa,Africa,10650818,25069230
48,Uganda,Eastern Africa,Africa,10162807,42729036
49,Belgium,Western Europe,Europe,10021242,11482178
50,Sweden,Northern Europe,Europe,9554907,9971638
51,Ecuador,South America,Americas,9521056,17084358
52,Tanzania,Eastern Africa,Africa,30000000,56313438
53,United Arab Emirates,Western Asia,Asia,8913217,9630959
54,Kenya,Eastern Africa,Africa,8861485,51392565
55,Czech Republic,Eastern Europe,Europe,8358728,10665677
56,Switzerland,Western Europe,Europe,7942864,8525611
57,Greece,Southern Europe,Europe,7923438,10522246
58,Azerbaijan,Western Asia,Asia,7763795,9949537
59,Austria,Western Europe,Europe,7681957,8891388
60,Portugal,Southern Europe,Europe,7622142,10256193
61,Yemen,Western Asia,Asia,7548512,28498683
62,Hungary,Eastern Europe,Europe,7461297,9707499
63,Sri Lanka,Southern Asia,Asia,7121116,21228763
64,Belarus,Eastern Europe,Europe,7048231,9452617
65,Democratic Republic of the Congo,Middle Africa,Africa,7011507,84068091
66,Dominican Republic,Caribbean,Americas,6997472,10627141
67,Guatemala,Central America,Americas,11750000,17247849
68,Israel,Western Asia,Asia,6788737,8381516
69,"Hong Kong, China",Eastern Asia,Asia,6585678,7371730
70,Jordan,Western Asia,Asia,6480202,9965318
71,Tunisia,Northern Africa,Africa,6400330,11565201
72,Nepal,Southern Asia,Asia,16190000,28095714
73,Syria,Western Asia,Asia,6257430,16945057
74,Serbia,Southern Europe,Europe,6182411,8802754
75,Mozambique,Eastern Africa,Africa,6162217,29496004
76,Cuba,Caribbean,Americas,5638956,11338134
77,Cameroon,Middle Africa,Africa,5580465,25216267
78,Denmark,Northern Europe,Europe,5407278,5752126
79,Cambodia,South-eastern Asia,Asia,5441827,16249792
80,Norway,Northern Europe,Europe,5120225,5337962
81,Bolivia,South America,Americas,4843916,11353142
82,Finland,Northern Europe,Europe,4831170,5522576
83,Singapore,South-eastern Asia,Asia,4821119,5757499
84,Zambia,Eastern Africa,Africa,4760715,17351708
